Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
20/03/2014,MTB,Buffalo,121.07,117.47,117.89,120.96,121.04,121.05,121.06,1175100,"16,526",3.07,Positive,3.09,Positive,5.02,Positive
21/03/2014,MTB,Buffalo,123.04,120.86,121.84,121.13,121.09,121.12,120.78,1404100,"16,526",-0.71,Negative,-2.28,Negative,0.4,Positive
24/03/2014,MTB,Buffalo,122.55,120.43,121.39,121.05,121.11,121.07,120.64,825300,"16,526",-0.34,Negative,-0.95,Negative,0.5,Positive
25/03/2014,MTB,Buffalo,121.76,120.42,121.47,121.17,121.08,120.57,120.69,628200,"16,526",-0.3,Negative,-0.17,Negative,0.14,Positive
26/03/2014,MTB,Buffalo,122.13,120.92,121.6,120.98,120.27,120.33,120.81,679500,"16,526",-0.62,Negative,0.17,Positive,0.41,Positive
27/03/2014,MTB,Buffalo,121.3,119.44,120.77,119.56,120,120.43,120.86,1052700,"16,526",-1.21,Negative,0.47,Positive,0.72,Positive
28/03/2014,MTB,Buffalo,120.97,119.52,120,120.44,120.87,121.17,121.32,672700,"16,526",0.44,Positive,1.84,Positive,1.8,Positive
31/03/2014,MTB,Buffalo,121.49,120.58,120.98,121.3,121.54,121.44,121.34,680800,"16,526",0.32,Positive,-0.43,Negative,0.47,Positive
1/4/2014,MTB,Buffalo,121.91,120.68,121.8,121.77,121.5,121.62,121.06,621000,"16,526",-0.03,Negative,-1.9,Negative,-2.39,Negative
2/4/2014,MTB,Buffalo,121.96,120.92,121.96,121.24,121.54,121.21,120.9,600400,"16,526",-0.72,Negative,-0.99,Negative,-1.05,Negative
3/4/2014,MTB,Buffalo,121.91,120.9,121.3,121.84,121.19,120.76,120.92,541400,"16,526",0.54,Positive,0.05,Positive,-0.38,Negative
4/4/2014,MTB,Buffalo,122.86,120.49,122.04,120.55,120.23,120.47,120.25,566300,"16,526",-1.49,Negative,-3.58,Negative,-0.67,Negative
7/4/2014,MTB,Buffalo,120.59,119.4,120.54,119.9,120.44,120.74,119.78,650700,"16,526",-0.64,Negative,-2.32,Negative,2.51,Positive
8/4/2014,MTB,Buffalo,121.26,119.27,119.86,120.97,121.16,120.26,119.97,1259800,"16,526",1.11,Positive,0.99,Positive,2.11,Positive
9/4/2014,MTB,Buffalo,121.79,120.64,121.28,121.35,119.9,119.34,119.85,734100,"16,526",0.07,Positive,-0.89,Negative,-1.48,Negative
10/4/2014,MTB,Buffalo,121.49,118.44,121.33,118.46,118.34,119.18,119.91,1124100,"16,526",-2.87,Negative,0.31,Positive,-2.61,Negative
11/4/2014,MTB,Buffalo,118.89,116.1,117.49,118.22,119.53,119.82,120.53,1196900,"16,526",0.73,Positive,4.05,Positive,1.07,Positive
14/04/2014,MTB,Buffalo,122.2,119.07,119.4,120.85,120.62,120.96,121.12,1296500,"16,526",1.45,Positive,1.77,Positive,0.71,Positive
15/04/2014,MTB,Buffalo,122.04,119.06,121.15,120.39,121.01,121.19,121.34,1170100,"16,526",-0.76,Negative,0.8,Positive,-1.76,Negative
16/04/2014,MTB,Buffalo,121.83,120.64,120.82,121.64,121.59,121.45,121.86,795500,"16,526",0.82,Positive,2.17,Positive,-0.77,Negative
17/04/2014,MTB,Buffalo,121.93,120.8,121.5,121.54,121.35,121.55,122.11,700600,"16,526",0.04,Positive,1.41,Positive,-0.73,Negative
21/04/2014,MTB,Buffalo,122.18,120.8,121.54,121.17,121.56,122.04,122.25,547700,"16,526",-0.37,Negative,0.7,Positive,-0.37,Negative
22/04/2014,MTB,Buffalo,122.69,120.56,121.05,121.95,122.47,122.62,122.4,538600,"16,526",0.9,Positive,0.84,Positive,0.4,Positive
23/04/2014,MTB,Buffalo,123.06,121.39,121.93,122.99,122.95,122.71,122.33,649800,"16,526",1.06,Positive,-0.32,Negative,0.18,Positive
24/04/2014,MTB,Buffalo,124.16,122.4,124,122.91,122.58,122.35,122.13,878800,"16,526",-1.09,Negative,-1.99,Negative,-3.36,Negative
25/04/2014,MTB,Buffalo,122.91,121.72,122.91,122.24,122.06,121.91,121.85,602800,"16,526",-0.67,Negative,-1.42,Negative,-1.54,Negative
28/04/2014,MTB,Buffalo,122.76,120.9,122.63,121.89,121.75,121.84,121.76,888300,"16,526",-0.74,Negative,-0.83,Negative,-1.18,Negative
29/04/2014,MTB,Buffalo,123,121.46,122.21,121.61,121.81,121.7,121.67,521300,"16,526",-0.6,Negative,-0.76,Negative,0.08,Positive
30/04/2014,MTB,Buffalo,122.11,121.02,121.51,122.01,121.75,121.77,121.23,673700,"16,526",0.5,Positive,-2.1,Negative,0.5,Positive
1/5/2014,MTB,Buffalo,122.43,121.18,122.23,121.49,121.65,121.58,121.01,557000,"16,526",-0.74,Negative,-1.32,Negative,1.01,Positive
2/5/2014,MTB,Buffalo,122.98,121.13,121.76,121.8,121.63,120.89,120.9,436800,"16,526",0.04,Positive,-0.84,Negative,1.97,Positive
5/5/2014,MTB,Buffalo,121.59,120.72,121.31,121.45,120.43,120.59,120.81,559100,"16,526",0.14,Positive,0.06,Positive,4.3,Positive
6/5/2014,MTB,Buffalo,121.3,119.29,121.11,119.41,120.16,120.41,121.13,596100,"16,526",-1.7,Negative,1.94,Positive,3.58,Positive
7/5/2014,MTB,Buffalo,120.97,119.53,119.89,120.91,120.92,121.07,121.64,674500,"16,526",1.02,Positive,2.08,Positive,3.73,Positive
8/5/2014,MTB,Buffalo,121.59,120.38,120.85,120.92,121.15,121.78,121.42,531700,"16,526",0.07,Positive,-1.05,Negative,2.05,Positive
9/5/2014,MTB,Buffalo,121.44,119.87,120.88,121.37,122.21,122.13,120.98,754200,"16,526",0.49,Positive,-2.16,Negative,1.79,Positive
12/5/2014,MTB,Buffalo,123.44,121.66,123.3,123.05,122.51,121.61,120.42,777200,"16,526",-0.25,Negative,-4.74,Negative,-1.36,Negative
13/05/2014,MTB,Buffalo,123,121.82,123,121.97,120.89,120.16,119.83,580000,"16,526",-1.03,Negative,-2.89,Negative,0.68,Positive
14/05/2014,MTB,Buffalo,122.1,119.63,122.1,119.8,119.26,119.03,119.32,513000,"16,526",-2.3,Negative,-2.71,Negative,1.79,Positive
15/05/2014,MTB,Buffalo,119.42,117.15,119,118.72,118.64,119.13,119.37,744500,"16,526",-0.28,Negative,1.05,Positive,4.62,Positive
16/05/2014,MTB,Buffalo,119.14,117.75,118.62,118.56,119.33,119.35,119.78,797100,"16,526",-0.06,Negative,2.15,Positive,6.11,Positive
19/05/2014,MTB,Buffalo,120.27,118.14,118.14,120.11,119.75,119.85,120.3,765700,"16,526",1.97,Positive,3.03,Positive,6.09,Positive
20/05/2014,MTB,Buffalo,120.13,118.66,120.05,119.39,119.72,120.07,120.57,575800,"16,526",-0.66,Negative,1.4,Positive,3.48,Positive
21/05/2014,MTB,Buffalo,120.54,119.16,119.59,120.05,120.41,120.66,121.11,426300,"16,526",0.46,Positive,2.52,Positive,4.58,Positive
22/05/2014,MTB,Buffalo,120.77,119.89,120.04,120.77,120.97,121.13,121.23,868800,"16,526",0.73,Positive,0.6,Positive,3.78,Positive
23/05/2014,MTB,Buffalo,121.27,120.19,120.56,121.17,121.31,121.58,121.35,361900,"16,526",0.61,Positive,0.81,Positive,3.56,Positive
27/05/2014,MTB,Buffalo,122.49,121.1,121.65,121.45,121.78,121.4,121.4,415200,"16,526",-0.2,Negative,-0.2,Negative,2.4,Positive
28/05/2014,MTB,Buffalo,122.17,120.79,121.63,122.11,121.38,121.37,121.57,700900,"16,526",0.48,Positive,0.66,Positive,3.34,Positive
29/05/2014,MTB,Buffalo,121.42,120.08,121,120.64,121.01,121.15,121.55,996700,"16,526",-0.36,Negative,1.01,Positive,2.83,Positive
30/05/2014,MTB,Buffalo,122.16,120.3,120.3,121.37,121.41,121.7,122.07,1127500,"16,526",1.07,Positive,2.94,Positive,4.64,Positive
2/6/2014,MTB,Buffalo,121.6,120.31,121.39,121.45,121.87,121.92,122.54,793500,"16,526",0.06,Positive,2.34,Positive,3.26,Positive
3/6/2014,MTB,Buffalo,122.71,121.17,121.17,122.29,122.15,122.51,123.38,684700,"16,526",1.12,Positive,4.44,Positive,2.11,Positive
4/6/2014,MTB,Buffalo,122.63,121.68,121.95,122.01,122.63,122.99,123.86,507300,"16,526",0.06,Positive,2.74,Positive,0.87,Positive
5/6/2014,MTB,Buffalo,123.27,121.63,122.22,123.24,123.49,124.19,124.18,499500,"16,526",1.02,Positive,1.4,Positive,-0.53,Negative
6/6/2014,MTB,Buffalo,124.4,123.09,123.57,123.73,124.67,124.68,124.11,507500,"16,526",0.16,Positive,-0.67,Negative,-1.56,Negative
9/6/2014,MTB,Buffalo,125.61,123.17,123.66,125.61,125.15,124.64,123.9,959300,"16,526",1.95,Positive,-0.99,Negative,-2.03,Negative
10/6/2014,MTB,Buffalo,125.9,124.67,125.14,124.69,124.16,123.74,123.16,708100,"16,526",-0.45,Negative,-3.2,Negative,-1.97,Negative
11/6/2014,MTB,Buffalo,124.48,123.38,124.42,123.62,123.26,123.06,122.96,798400,"16,526",-0.8,Negative,-0.74,Negative,-2.16,Negative
12/6/2014,MTB,Buffalo,124.03,122.84,123.52,122.9,122.79,122.5,123.02,689300,"16,526",-0.62,Negative,0.37,Positive,-1.61,Negative
13/06/2014,MTB,Buffalo,124.09,122.52,123.28,122.67,122.31,122.76,123.16,981000,"16,526",-0.61,Negative,0.34,Positive,-1.22,Negative
16/06/2014,MTB,Buffalo,122.62,121.86,122.51,121.94,122.81,123.17,123.57,884700,"16,526",-0.57,Negative,2.22,Positive,-0.06,Negative
17/06/2014,MTB,Buffalo,124.05,121.82,121.82,123.68,123.78,123.73,124.03,670800,"16,526",1.86,Positive,2.41,Positive,0.49,Positive
18/06/2014,MTB,Buffalo,124.13,122.66,123.65,123.89,123.76,124.08,124,539300,"16,526",0.24,Positive,-0.12,Negative,-1.18,Negative
19/06/2014,MTB,Buffalo,123.92,122.78,123.92,123.62,124.18,124.19,124.06,618800,"16,526",-0.3,Negative,0.25,Positive,-0.35,Negative
